Datekey,FullDateLabel,DateDescription,CalendarYear,CalendarQuarter,CalendarQuarterLabel,CalendarMonth,CalendarMonthLabel,CalendarWeek,CalendarWeekLabel
2007-01-01 00:00:00.000,2007-01-01,2007-01-01,2007,20071,Q1,200701,January,200701,"Week 1 "
2007-01-02 00:00:00.000,2007-01-02,2007-01-02,2007,20071,Q1,200701,January,200701,"Week 1 "
2007-01-03 00:00:00.000,2007-01-03,2007-01-03,2007,20071,Q1,200701,January,200701,"Week 1 "
2007-01-04 00:00:00.000,2007-01-04,2007-01-04,2007,20071,Q1,200701,January,200701,"Week 1 "
2007-01-05 00:00:00.000,2007-01-05,2007-01-05,2007,20071,Q1,200701,January,200701,"Week 1 "
2007-01-06 00:00:00.000,2007-01-06,2007-01-06,2007,20071,Q1,200701,January,200701,"Week 1 "
2007-01-07 00:00:00.000,2007-01-07,2007-01-07,2007,20071,Q1,200701,January,200702,"Week 2 "
2007-01-08 00:00:00.000,2007-01-08,2007-01-08,2007,20071,Q1,200701,January,200702,"Week 2 "
2007-01-09 00:00:00.000,2007-01-09,2007-01-09,2007,20071,Q1,200701,January,200702,"Week 2 "
2007-01-10 00:00:00.000,2007-01-10,2007-01-10,2007,20071,Q1,200701,January,200702,"Week 2 "
2007-01-11 00:00:00.000,2007-01-11,2007-01-11,2007,20071,Q1,200701,January,200702,"Week 2 "
2007-01-12 00:00:00.000,2007-01-12,2007-01-12,2007,20071,Q1,200701,January,200702,"Week 2 "
2007-01-13 00:00:00.000,2007-01-13,2007-01-13,2007,20071,Q1,200701,January,200702,"Week 2 "
2007-01-14 00:00:00.000,2007-01-14,2007-01-14,2007,20071,Q1,200701,January,200703,"Week 3 "
2007-01-15 00:00:00.000,2007-01-15,2007-01-15,2007,20071,Q1,200701,January,200703,"Week 3 "
2007-01-16 00:00:00.000,2007-01-16,2007-01-16,2007,20071,Q1,200701,January,200703,"Week 3 "
2007-01-17 00:00:00.000,2007-01-17,2007-01-17,2007,20071,Q1,200701,January,200703,"Week 3 "
2007-01-18 00:00:00.000,2007-01-18,2007-01-18,2007,20071,Q1,200701,January,200703,"Week 3 "
2007-01-19 00:00:00.000,2007-01-19,2007-01-19,2007,20071,Q1,200701,January,200703,"Week 3 "
2007-01-20 00:00:00.000,2007-01-20,2007-01-20,2007,20071,Q1,200701,January,200703,"Week 3 "
2007-01-21 00:00:00.000,2007-01-21,2007-01-21,2007,20071,Q1,200701,January,200704,"Week 4 "
2007-01-22 00:00:00.000,2007-01-22,2007-01-22,2007,20071,Q1,200701,January,200704,"Week 4 "
2007-01-23 00:00:00.000,2007-01-23,2007-01-23,2007,20071,Q1,200701,January,200704,"Week 4 "
2007-01-24 00:00:00.000,2007-01-24,2007-01-24,2007,20071,Q1,200701,January,200704,"Week 4 "
2007-01-25 00:00:00.000,2007-01-25,2007-01-25,2007,20071,Q1,200701,January,200704,"Week 4 "
2007-01-26 00:00:00.000,2007-01-26,2007-01-26,2007,20071,Q1,200701,January,200704,"Week 4 "
2007-01-27 00:00:00.000,2007-01-27,2007-01-27,2007,20071,Q1,200701,January,200704,"Week 4 "
2007-01-28 00:00:00.000,2007-01-28,2007-01-28,2007,20071,Q1,200701,January,200705,"Week 5 "
2007-01-29 00:00:00.000,2007-01-29,2007-01-29,2007,20071,Q1,200701,January,200705,"Week 5 "
2007-01-30 00:00:00.000,2007-01-30,2007-01-30,2007,20071,Q1,200701,January,200705,"Week 5 "
2007-01-31 00:00:00.000,2007-01-31,2007-01-31,2007,20071,Q1,200701,January,200705,"Week 5 "
2007-02-01 00:00:00.000,2007-02-01,2007-02-01,2007,20071,Q1,200702,February,200705,"Week 5 "
2007-02-02 00:00:00.000,2007-02-02,2007-02-02,2007,20071,Q1,200702,February,200705,"Week 5 "
2007-02-03 00:00:00.000,2007-02-03,2007-02-03,2007,20071,Q1,200702,February,200705,"Week 5 "
2007-02-04 00:00:00.000,2007-02-04,2007-02-04,2007,20071,Q1,200702,February,200706,"Week 6 "
2007-02-05 00:00:00.000,2007-02-05,2007-02-05,2007,20071,Q1,200702,February,200706,"Week 6 "
2007-02-06 00:00:00.000,2007-02-06,2007-02-06,2007,20071,Q1,200702,February,200706,"Week 6 "
2007-02-07 00:00:00.000,2007-02-07,2007-02-07,2007,20071,Q1,200702,February,200706,"Week 6 "
2007-02-08 00:00:00.000,2007-02-08,2007-02-08,2007,20071,Q1,200702,February,200706,"Week 6 "
2007-02-09 00:00:00.000,2007-02-09,2007-02-09,2007,20071,Q1,200702,February,200706,"Week 6 "
2007-02-10 00:00:00.000,2007-02-10,2007-02-10,2007,20071,Q1,200702,February,200706,"Week 6 "
2007-02-11 00:00:00.000,2007-02-11,2007-02-11,2007,20071,Q1,200702,February,200707,"Week 7 "
2007-02-12 00:00:00.000,2007-02-12,2007-02-12,2007,20071,Q1,200702,February,200707,"Week 7 "
2007-02-13 00:00:00.000,2007-02-13,2007-02-13,2007,20071,Q1,200702,February,200707,"Week 7 "
2007-02-14 00:00:00.000,2007-02-14,2007-02-14,2007,20071,Q1,200702,February,200707,"Week 7 "
2007-02-15 00:00:00.000,2007-02-15,2007-02-15,2007,20071,Q1,200702,February,200707,"Week 7 "
2007-02-16 00:00:00.000,2007-02-16,2007-02-16,2007,20071,Q1,200702,February,200707,"Week 7 "
2007-02-17 00:00:00.000,2007-02-17,2007-02-17,2007,20071,Q1,200702,February,200707,"Week 7 "
2007-02-18 00:00:00.000,2007-02-18,2007-02-18,2007,20071,Q1,200702,February,200708,"Week 8 "
2007-02-19 00:00:00.000,2007-02-19,2007-02-19,2007,20071,Q1,200702,February,200708,"Week 8 "
2007-02-20 00:00:00.000,2007-02-20,2007-02-20,2007,20071,Q1,200702,February,200708,"Week 8 "
2007-02-21 00:00:00.000,2007-02-21,2007-02-21,2007,20071,Q1,200702,February,200708,"Week 8 "
2007-02-22 00:00:00.000,2007-02-22,2007-02-22,2007,20071,Q1,200702,February,200708,"Week 8 "
2007-02-23 00:00:00.000,2007-02-23,2007-02-23,2007,20071,Q1,200702,February,200708,"Week 8 "
2007-02-24 00:00:00.000,2007-02-24,2007-02-24,2007,20071,Q1,200702,February,200708,"Week 8 "
2007-02-25 00:00:00.000,2007-02-25,2007-02-25,2007,20071,Q1,200702,February,200709,"Week 9 "
2007-02-26 00:00:00.000,2007-02-26,2007-02-26,2007,20071,Q1,200702,February,200709,"Week 9 "
2007-02-27 00:00:00.000,2007-02-27,2007-02-27,2007,20071,Q1,200702,February,200709,"Week 9 "
2007-02-28 00:00:00.000,2007-02-28,2007-02-28,2007,20071,Q1,200702,February,200709,"Week 9 "
2007-03-01 00:00:00.000,2007-03-01,2007-03-01,2007,20071,Q1,200703,March,200709,"Week 9 "
2007-03-02 00:00:00.000,2007-03-02,2007-03-02,2007,20071,Q1,200703,March,200709,"Week 9 "
2007-03-03 00:00:00.000,2007-03-03,2007-03-03,2007,20071,Q1,200703,March,200709,"Week 9 "
2007-03-04 00:00:00.000,2007-03-04,2007-03-04,2007,20071,Q1,200703,March,200710,Week 10
2007-03-05 00:00:00.000,2007-03-05,2007-03-05,2007,20071,Q1,200703,March,200710,Week 10
2007-03-06 00:00:00.000,2007-03-06,2007-03-06,2007,20071,Q1,200703,March,200710,Week 10
2007-03-07 00:00:00.000,2007-03-07,2007-03-07,2007,20071,Q1,200703,March,200710,Week 10
2007-03-08 00:00:00.000,2007-03-08,2007-03-08,2007,20071,Q1,200703,March,200710,Week 10
2007-03-09 00:00:00.000,2007-03-09,2007-03-09,2007,20071,Q1,200703,March,200710,Week 10
2007-03-10 00:00:00.000,2007-03-10,2007-03-10,2007,20071,Q1,200703,March,200710,Week 10
2007-03-11 00:00:00.000,2007-03-11,2007-03-11,2007,20071,Q1,200703,March,200711,Week 11
2007-03-12 00:00:00.000,2007-03-12,2007-03-12,2007,20071,Q1,200703,March,200711,Week 11
2007-03-13 00:00:00.000,2007-03-13,2007-03-13,2007,20071,Q1,200703,March,200711,Week 11
