StoreKey,GeographyKey,StoreManager,StoreType,StoreName,StoreDescription,Status,OpenDate,CloseDate,EntityKey,ZipCode,ZipCodeExtension,StorePhone,StoreFax,AddressLine1,AddressLine2,CloseReason,EmployeeCount,SellingAreaSize,LastRemodelDate
1,693,35,Store,Contoso Seattle No.1 Store,Contoso Seattle No.1 Store,On,2004-04-12 00:00:00.000,NULL,635,97001,97001,320-555-0195,320-555-0195,East Queen Anne Big shopping mall,East Queen Anne Big shopping mall,NULL,17,462,2009-06-16 00:00:00.000
2,693,35,Store,Contoso Seattle No.2 Store,Contoso Seattle No.2 Store,On,2004-02-14 00:00:00.000,NULL,636,97001,97002,150-555-0189,150-555-0189,Mino shopping mall,Mino shopping mall,NULL,25,700,2009-06-17 00:00:00.000
3,856,36,Store,Contoso Kennewick Store,Contoso Kennewick Store,On,2004-02-12 00:00:00.000,NULL,934,97001,97003,212-555-0187,212-555-0187,"Kennewick,  Downtown","Kennewick,  Downtown",NULL,26,680,2009-06-18 00:00:00.000
4,424,37,Store,Contoso Bellevue Store,Contoso Bellevue Store,On,2004-03-01 00:00:00.000,NULL,638,97001,97004,612-555-0100,612-555-0100,West Lake Hills shopping mall,West Lake Hills shopping mall,NULL,19,455,2009-06-16 00:00:00.000
5,677,38,Store,Contoso Redmond Store,Contoso Redmond Store,On,2004-04-02 00:00:00.000,NULL,639,97001,97005,612-555-0100,612-555-0100,Downtown shopping mall,Downtown shopping mall,NULL,33,560,2009-06-17 00:00:00.000
6,575,39,Store,Contoso Yakima Store,Contoso Yakima Store,On,2005-05-15 00:00:00.000,NULL,640,97001,97006,168-555-0183,168-555-0183,"Yakima, shopping mall","Yakima, shopping mall",NULL,47,1125,2009-06-16 00:00:00.000
7,838,40,Store,Contoso Granger Store,Contoso Granger Store,On,2004-06-16 00:00:00.000,NULL,641,97001,97007,913-555-0172,913-555-0172,"Granger, WA Downtown shopping mall","Granger, WA Downtown shopping mall",NULL,22,500,2009-06-17 00:00:00.000
8,935,41,Store,Contoso Sunnyside Store,Contoso Sunnyside Store,On,2004-07-02 00:00:00.000,NULL,642,97001,97008,913-555-0172,913-555-0172,"Sunnyside, WA Citycenter","Sunnyside, WA Citycenter",NULL,17,460,2009-06-18 00:00:00.000
9,941,42,Store,Contoso Toppenish Store,Contoso Toppenish Store,On,2004-08-18 00:00:00.000,NULL,643,97001,97009,903-555-0145,903-555-0145,"Toppenish, Citycenter","Toppenish, Citycenter",NULL,25,700,2009-06-16 00:00:00.000
10,947,43,Store,Contoso Wapato Store,Contoso Wapato Store,On,2004-09-19 00:00:00.000,NULL,644,97001,97010,145-555-0130,145-555-0130,"Wapato, Citycenter","Wapato, Citycenter",NULL,25,700,2009-06-17 00:00:00.000
